,location,genotype,DM
330,MI,CDBN_272,89.0
331,MI,CDBN_198,93.0
332,MI,CDBN_200,90.0
333,MI,CDBN_206,90.0
334,MI,CDBN_211,94.0
335,MI,CDBN_216,91.0
336,MI,CDBN_091,96.5
337,MI,CDBN_244,94.0
338,MI,CDBN_035,96.0
339,MI,CDBN_178,99.1
340,MI,CDBN_139,90.0
341,MI,CDBN_353,95.0
342,MI,CDBN_320,92.9
343,MI,CDBN_252,91.3
344,MI,CDBN_304,84.5
345,MI,CDBN_204,93.2
346,MI,CDBN_212,91.8
347,MI,CDBN_213,87.8
348,MI,CDBN_225,82.6
349,MI,CDBN_092,100.0
350,MI,CDBN_020,93.5
351,MI,CDBN_078,101.5
352,MI,CDBN_165,98.5
353,MI,CDBN_158,107.0
354,MI,CDBN_094,110.0
355,MI,CDBN_181,93.4
356,MI,CDBN_183,97.8
357,MI,CDBN_019,91.5
358,MI,CDBN_302,90.9
359,MI,CDBN_082,95.0
360,MI,CDBN_223,100.0
361,MI,CDBN_087,98.0
362,MI,CDBN_245,93.0
363,MI,CDBN_324,89.0
364,MI,CDBN_224,91.0
365,MI,CDBN_170,95.0
366,MI,CDBN_275,89.0
367,MI,CDBN_121,98.0
368,MI,CDBN_026,99.0
369,MI,CDBN_196,80.0
370,MI,CDBN_208,92.0
371,MI,CDBN_234,100.0
372,MI,CDBN_316,98.0
373,MI,CDBN_084,87.0
374,MI,CDBN_123,105.4
375,MI,CDBN_126,99.7
376,MI,CDBN_127,104.6
377,MI,CDBN_079,109.2
378,MI,CDBN_011,90.4
379,MI,CDBN_016,89.6
380,MI,CDBN_089,92.5
381,MI,CDBN_263,92.0
382,MI,CDBN_028,96.5
383,MI,CDBN_129,99.5
384,MI,CDBN_051,112.0
385,MI,CDBN_159,105.0
386,MI,CDBN_278,105.0
387,MI,CDBN_010,89.0
388,MI,CDBN_013,87.0
389,MI,CDBN_014,85.0
390,MI,CDBN_293,91.0
391,MI,CDBN_277,98.0
392,MI,CDBN_242,88.0
393,MI,CDBN_116,96.0
394,MI,CDBN_239,95.0
395,MI,CDBN_299,87.0
396,MI,CDBN_247,80.0
397,MI,CDBN_249,81.0
398,MI,CDBN_024,84.0
399,MI,CDBN_268,96.0
400,MI,CDBN_036,99.0
401,MI,CDBN_037,96.0
402,MI,CDBN_048,92.0
403,MI,CDBN_271,98.0
404,MI,CDBN_193,91.0
405,MI,CDBN_128,84.0
406,MI,CDBN_303,96.0
407,MI,CDBN_199,86.0
408,MI,CDBN_232,99.0
409,MI,CDBN_203,94.0
410,MI,CDBN_098,98.0
411,MI,CDBN_307,93.0
412,MI,CDBN_138,96.0
413,MI,CDBN_318,91.0
414,MI,CDBN_284,95.0
415,MI,CDBN_285,99.0
416,MI,CDBN_300,93.0
417,MI,CDBN_039,96.0
418,MI,CDBN_238,98.0
419,MI,CDBN_290,94.0
420,MI,CDBN_053,88.0
421,MI,CDBN_065,92.0
422,MI,CDBN_317,85.0
423,MI,CDBN_273,95.0
424,MI,CDBN_274,94.0
425,MI,CDBN_002,92.0
426,MI,CDBN_166,96.0
427,MI,CDBN_115,96.0
428,MI,CDBN_259,100.0
429,MI,CDBN_226,98.0
430,MI,CDBN_009,91.0
431,MI,CDBN_154,100.0
432,MI,CDBN_241,93.0
433,MI,CDBN_298,91.0
434,MI,CDBN_267,92.0
435,MI,CDBN_038,96.0
436,MI,CDBN_040,92.0
437,MI,CDBN_043,97.0
438,MI,CDBN_093,113.0
439,MI,CDBN_179,91.0
440,MI,CDBN_201,93.0
441,MI,CDBN_086,89.0
442,MI,CDBN_088,116.0
443,MI,CDBN_155,90.0
444,MI,CDBN_296,87.0
445,MI,CDBN_321,93.0
446,MI,CDBN_248,88.0
447,MI,CDBN_301,100.0
448,MI,CDBN_257,84.0
449,MI,CDBN_146,95.0
450,MI,CDBN_265,84.0
451,MI,CDBN_042,94.0
452,MI,CDBN_306,90.0
453,MI,CDBN_312,90.0
454,MI,CDBN_314,84.0
455,MI,CDBN_144,91.0
456,MI,CDBN_031,102.0
457,MI,CDBN_041,104.0
458,MI,CDBN_288,99.0
459,MI,CDBN_097,100.0
460,MI,CDBN_030,98.0
461,MI,CDBN_032,99.0
462,MI,CDBN_033,101.0
463,MI,CDBN_034,101.0
464,MI,CDBN_192,98.0
465,MI,CDBN_076,95.0
466,MI,CDBN_077,104.0
467,MI,CDBN_207,95.0
468,MI,CDBN_007,102.0
469,MI,CDBN_186,89.0
470,MI,CDBN_006,87.0
471,MI,CDBN_187,87.0
472,MI,CDBN_008,93.0
473,MI,CDBN_147,91.0
474,MI,CDBN_023,99.0
475,MI,CDBN_124,99.0
476,MI,CDBN_073,99.0
477,MI,CDBN_075,93.0
478,MI,CDBN_175,89.0
479,MI,CDBN_279,94.0
480,MI,CDBN_022,94.0
481,MI,CDBN_003,84.0
482,MI,CDBN_005,97.0
483,MI,CDBN_004,86.0
484,MI,CDBN_322,88.0
485,MI,CDBN_047,89.0
486,MI,CDBN_311,86.0
487,MI,CDBN_291,120.0
488,MI,CDBN_001,106.0
489,MI,CDBN_294,97.0
490,MI,CDBN_050,100.0
491,MI,CDBN_297,97.0
492,MI,CDBN_182,97.0
493,MI,CDBN_287,98.0
494,MI,CDBN_289,107.0
495,MI,CDBN_045,97.0
496,MI,CDBN_072,97.0
497,MI,CDBN_134,101.0
498,MI,CDBN_286,102.0
499,MI,CDBN_090,98.0
500,MI,CDBN_246,91.0
501,MI,CDBN_074,87.0
502,MI,CDBN_080,87.0
503,MI,CDBN_081,88.0
504,MI,CDBN_315,84.0
505,MI,CDBN_136,92.0
506,MI,CDBN_323,94.0
507,MI,CDBN_180,98.0
508,MI,CDBN_240,90.0
509,MI,CDBN_308,100.0
510,MI,CDBN_309,96.0
511,MI,CDBN_313,93.0
512,MI,CDBN_319,91.0
513,MI,CDBN_025,88.0
514,MI,CDBN_049,91.0
515,MI,CDBN_102,113.0
516,MI,CDBN_111,99.0
517,MI,CDBN_099,89.0
518,MI,CDBN_229,92.0
519,MI,CDBN_145,103.0
520,MI,CDBN_103,85.0
521,MI,CDBN_104,86.0
522,MI,CDBN_106,107.0
523,MI,CDBN_107,88.0
524,MI,CDBN_177,83.0
525,MI,CDBN_108,84.0
526,MI,CDBN_109,89.0
527,MI,CDBN_110,85.0
528,MI,CDBN_194,107.0
529,MI,CDBN_130,88.0
530,MI,CDBN_113,104.0
531,MI,CDBN_132,86.0
532,MI,CDBN_221,89.0
533,MI,CDBN_105,78.0
534,MI,CDBN_231,85.0
535,MI,CDBN_276,85.0
536,MI,CDBN_137,83.0
537,MI,CDBN_150,82.0
538,MI,CDBN_169,87.0
539,MI,CDBN_258,90.0
540,MI,CDBN_264,94.0
541,MI,CDBN_266,100.0
542,MI,CDBN_230,85.0
543,MI,CDBN_135,97.0
544,MI,CDBN_222,88.0
545,MI,CDBN_148,100.0
546,MI,CDBN_227,92.0
547,MI,CDBN_149,90.0
548,MI,CDBN_122,99.0
549,MI,CDBN_152,98.0
550,MI,CDBN_176,93.0
551,MI,CDBN_117,88.0
552,MI,CDBN_118,90.0
553,MI,CDBN_260,91.0
554,MI,CDBN_191,88.0
555,MI,CDBN_114,93.0
556,MI,CDBN_131,87.0
557,MI,CDBN_209,94.0
558,MI,CDBN_233,90.0
559,MI,CDBN_151,96.0
560,MN,CDBN_171,90.0
561,MN,CDBN_339,102.0
562,MN,CDBN_172,96.0
563,MN,CDBN_063,104.0
564,MN,CDBN_161,104.0
565,MN,CDBN_071,88.0
566,MN,CDBN_060,94.0
567,MN,CDBN_061,101.0
568,MN,CDBN_168,122.0
569,MN,CDBN_163,120.0
570,MN,CDBN_189,116.0
571,MN,CDBN_091,90.0
572,MN,CDBN_092,102.0
573,MN,CDBN_020,97.0
574,MN,CDBN_078,100.0
575,MN,CDBN_165,99.0
576,MN,CDBN_158,105.0
577,MN,CDBN_294,109.0
578,MN,CDBN_105,86.0
579,MN,CDBN_177,107.0
580,MN,CDBN_323,93.0
581,MN,CDBN_231,114.0
582,MN,CDBN_276,94.0
583,MN,CDBN_095,110.0
584,MN,CDBN_311,111.0
585,MN,CDBN_221,109.0
586,MN,CDBN_150,113.0
587,MN,CDBN_108,75.0
588,MN,CDBN_137,83.0
589,MN,CDBN_145,99.0
590,MN,CDBN_146,97.0
591,MN,CDBN_169,97.0
592,MN,CDBN_109,86.0
593,MN,CDBN_111,98.0
594,MN,CDBN_194,99.0
595,MN,CDBN_113,103.0
596,MN,CDBN_132,94.0
597,MN,CDBN_266,107.0
598,MN,CDBN_152,84.0
599,MN,CDBN_238,95.0
600,MN,CDBN_090,85.0
601,MN,CDBN_222,93.0
602,MN,CDBN_274,109.0
603,MN,CDBN_258,116.0
604,MN,CDBN_264,131.0
605,MN,CDBN_227,112.0
606,MN,CDBN_149,120.0
607,MN,CDBN_230,96.0
608,MN,CDBN_135,101.0
609,MN,CDBN_209,97.0
610,MN,CDBN_117,94.0
611,MN,CDBN_118,94.0
612,MN,CDBN_106,115.0
613,MN,CDBN_107,90.0
614,MN,CDBN_122,102.0
615,MN,CDBN_260,104.0
616,MN,CDBN_131,95.0
617,MN,CDBN_151,111.0
618,MN,CDBN_202,111.0
619,MN,CDBN_191,91.0
620,ND,CDBN_054,101.0
621,ND,CDBN_351,98.0
622,ND,CDBN_345,104.0
623,ND,CDBN_332,96.0
624,ND,CDBN_067,103.0
625,ND,CDBN_062,100.0
626,ND,CDBN_068,104.0
627,ND,CDBN_095,92.0
628,ND,CDBN_342,100.0
629,ND,CDBN_069,85.0
630,ND,CDBN_059,104.0
631,ND,CDBN_310,103.0
632,ND,CDBN_349,100.0
633,ND,CDBN_185,102.0
634,ND,CDBN_173,101.0
635,ND,CDBN_070,103.0
636,ND,CDBN_236,106.0
637,ND,CDBN_235,100.0
638,ND,CDBN_218,107.0
639,ND,CDBN_343,103.0
640,ND,CDBN_171,100.0
641,ND,CDBN_052,107.0
642,ND,CDBN_172,109.0
643,ND,CDBN_063,114.0
644,ND,CDBN_064,95.0
645,ND,CDBN_262,94.0
646,ND,CDBN_083,91.0
647,ND,CDBN_143,94.0
648,ND,CDBN_253,107.0
649,ND,CDBN_237,111.0
650,ND,CDBN_058,106.0
651,ND,CDBN_217,110.0
652,ND,CDBN_167,100.0
653,ND,CDBN_261,107.0
654,ND,CDBN_243,98.0
655,ND,CDBN_066,102.0
656,ND,CDBN_269,103.0
657,ND,CDBN_055,99.0
658,ND,CDBN_195,98.0
659,ND,CDBN_305,95.0
660,ND,CDBN_174,98.0
661,ND,CDBN_214,100.0
662,ND,CDBN_141,98.0
663,ND,CDBN_142,102.0
664,ND,CDBN_295,107.0
665,ND,CDBN_184,104.0
666,ND,CDBN_254,106.0
667,ND,CDBN_255,107.0
668,ND,CDBN_270,100.0
669,ND,CDBN_197,106.0
670,ND,CDBN_210,106.0
671,ND,CDBN_215,108.0
672,ND,CDBN_228,108.0
673,ND,CDBN_096,111.0
674,ND,CDBN_056,114.0
675,ND,CDBN_272,107.0
676,ND,CDBN_198,115.0
677,ND,CDBN_200,109.0
678,ND,CDBN_206,103.0
679,ND,CDBN_211,117.0
680,ND,CDBN_216,108.0
681,ND,CDBN_244,119.0
682,ND,CDBN_035,112.0
683,ND,CDBN_178,119.0
684,ND,CDBN_139,112.0
685,ND,CDBN_353,106.0
686,ND,CDBN_320,90.0
687,ND,CDBN_252,95.0
688,ND,CDBN_304,86.0
689,ND,CDBN_204,95.0
690,ND,CDBN_212,87.0
691,ND,CDBN_213,90.0
692,ND,CDBN_225,85.0
693,ND,CDBN_181,101.0
694,ND,CDBN_183,104.0
695,ND,CDBN_019,113.0
696,ND,CDBN_302,101.0
697,ND,CDBN_082,100.0
698,ND,CDBN_223,104.0
699,ND,CDBN_275,95.0
700,ND,CDBN_170,102.0
701,ND,CDBN_121,101.0
702,ND,CDBN_026,102.0
703,ND,CDBN_196,93.0
704,ND,CDBN_208,74.0
705,ND,CDBN_234,99.0
706,ND,CDBN_316,98.0
707,ND,CDBN_084,95.0
708,ND,CDBN_224,98.0
709,ND,CDBN_010,99.3
710,ND,CDBN_011,99.5
711,ND,CDBN_012,96.0
712,ND,CDBN_015,99.3
713,ND,CDBN_016,99.0
714,ND,CDBN_277,99.3
715,ND,CDBN_116,100.3
716,ND,CDBN_298,96.8
717,ND,CDBN_299,93.3
718,ND,CDBN_249,91.0
719,ND,CDBN_250,82.0
720,ND,CDBN_251,96.3
721,ND,CDBN_017,99.8
722,ND,CDBN_089,94.0
723,ND,CDBN_263,98.0
724,ND,CDBN_127,101.3
725,ND,CDBN_027,100.3
726,ND,CDBN_028,93.8
727,ND,CDBN_164,100.8
728,ND,CDBN_044,99.5
729,ND,CDBN_046,93.8
730,ND,CDBN_285,102.5
731,ND,CDBN_079,101.0
732,ND,CDBN_219,97.5
733,ND,CDBN_311,98.3
734,ND,CDBN_053,94.8
735,ND,CDBN_065,97.0
736,ND,CDBN_314,98.3
737,ND,CDBN_317,93.0
738,ND,CDBN_013,103.0
739,ND,CDBN_014,100.0
740,ND,CDBN_293,103.0
741,ND,CDBN_242,101.0
742,ND,CDBN_239,99.0
743,ND,CDBN_247,96.0
744,ND,CDBN_024,102.0
745,ND,CDBN_268,101.0
746,ND,CDBN_036,105.0
747,ND,CDBN_037,104.0
748,ND,CDBN_048,107.0
749,ND,CDBN_271,102.0
750,ND,CDBN_193,100.0
751,ND,CDBN_128,92.0
752,ND,CDBN_303,104.0
753,ND,CDBN_199,100.0
754,ND,CDBN_232,103.0
755,ND,CDBN_203,102.0
756,ND,CDBN_098,103.0
757,ND,CDBN_307,105.0
758,ND,CDBN_138,103.0
759,ND,CDBN_318,101.0
760,ND,CDBN_051,114.0
761,ND,CDBN_159,114.0
762,ND,CDBN_300,105.0
763,ND,CDBN_278,112.0
764,ND,CDBN_039,109.0
765,ND,CDBN_284,112.0
766,ND,CDBN_238,114.0
767,ND,CDBN_324,116.0
768,ND,CDBN_165,114.0
769,ND,CDBN_290,116.0
770,ND,CDBN_087,114.0
771,ND,CDBN_273,112.0
772,ND,CDBN_274,116.0
773,ND,CDBN_002,106.0
774,ND,CDBN_115,86.0
775,ND,CDBN_168,111.0
776,ND,CDBN_123,109.0
777,ND,CDBN_259,100.0
778,ND,CDBN_166,110.0
779,ND,CDBN_226,111.0
780,ND,CDBN_009,96.0
781,ND,CDBN_154,102.0
782,ND,CDBN_241,97.0
783,ND,CDBN_267,100.0
784,ND,CDBN_038,100.0
785,ND,CDBN_040,98.0
786,ND,CDBN_043,102.0
787,ND,CDBN_179,96.0
788,ND,CDBN_201,93.0
789,ND,CDBN_086,92.0
790,ND,CDBN_088,108.0
791,ND,CDBN_155,101.0
792,ND,CDBN_296,99.0
793,ND,CDBN_321,108.0
794,ND,CDBN_248,104.0
795,ND,CDBN_301,106.0
796,ND,CDBN_257,105.0
797,ND,CDBN_146,109.0
798,ND,CDBN_265,96.0
799,ND,CDBN_042,104.0
800,ND,CDBN_093,108.0
801,ND,CDBN_306,99.0
802,ND,CDBN_312,100.0
803,ND,CDBN_144,100.0
804,ND,CDBN_288,98.0
805,ND,CDBN_097,100.0
806,ND,CDBN_030,98.0
807,ND,CDBN_031,102.0
808,ND,CDBN_032,96.0
809,ND,CDBN_033,95.0
810,ND,CDBN_034,101.0
811,ND,CDBN_192,98.0
812,ND,CDBN_041,96.0
813,ND,CDBN_076,94.0
814,ND,CDBN_077,102.0
815,ND,CDBN_207,96.0
816,ND,CDBN_186,93.0
817,ND,CDBN_006,93.0
818,ND,CDBN_187,93.0
819,ND,CDBN_008,103.0
820,ND,CDBN_007,104.0
821,ND,CDBN_147,101.0
822,ND,CDBN_023,106.0
823,ND,CDBN_124,108.0
824,ND,CDBN_073,103.0
825,ND,CDBN_075,100.0
826,ND,CDBN_175,95.0
827,ND,CDBN_001,117.0
828,ND,CDBN_005,117.0
829,ND,CDBN_294,107.0
830,ND,CDBN_050,115.0
831,ND,CDBN_297,104.0
832,ND,CDBN_182,116.0
833,ND,CDBN_287,116.0
834,ND,CDBN_279,101.0
835,ND,CDBN_289,116.0
836,ND,CDBN_045,113.0
837,ND,CDBN_047,111.0
838,ND,CDBN_072,110.0
839,ND,CDBN_134,115.0
840,ND,CDBN_291,117.0
841,ND,CDBN_322,102.0
842,ND,CDBN_003,88.0
843,ND,CDBN_286,90.0
844,ND,CDBN_074,88.0
845,ND,CDBN_080,89.0
846,ND,CDBN_090,90.0
847,ND,CDBN_081,89.0
848,ND,CDBN_309,89.0
849,ND,CDBN_313,84.0
850,ND,CDBN_315,84.0
851,ND,CDBN_136,92.0
852,ND,CDBN_246,89.0
853,ND,CDBN_323,88.0
854,ND,CDBN_188,86.0
855,ND,CDBN_180,95.0
856,ND,CDBN_240,89.0
857,ND,CDBN_153,83.0
858,ND,CDBN_308,94.0
859,ND,CDBN_319,86.0
860,ND,CDBN_099,105.0
861,ND,CDBN_101,107.0
862,ND,CDBN_110,107.0
863,ND,CDBN_111,106.0
864,ND,CDBN_282,108.0
865,ND,CDBN_283,116.0
866,ND,CDBN_057,115.0
867,ND,CDBN_112,99.0
868,ND,CDBN_221,111.0
869,ND,CDBN_049,103.0
870,ND,CDBN_229,109.0
871,ND,CDBN_145,116.0
