,location,genotype,SY
187,CA,CDBN_238,2895.2
188,CA,CDBN_306,3003.84
189,CA,CDBN_080,2433.76
190,CA,CDBN_090,2168.32
191,CA,CDBN_134,2815.68
192,CA,CDBN_081,2629.76
193,CA,CDBN_309,3049.76
194,CA,CDBN_313,2964.64
195,CA,CDBN_315,2534.56
196,CA,CDBN_274,2760.8
197,CA,CDBN_136,2962.4
198,CA,CDBN_025,3204.32
199,CA,CDBN_323,2965.76
200,CA,CDBN_188,2866.08
201,CA,CDBN_280,2609.6
202,CA,CDBN_180,2767.52
203,CA,CDBN_308,3627.68
204,CA,CDBN_049,3451.84
205,CA,CDBN_319,3101.28
206,CA,CDBN_100,2192.96
207,CA,CDBN_120,1715.84
208,CA,CDBN_276,1590.4
209,CA,CDBN_281,2933.28
210,CA,CDBN_284,3459.68
211,CA,CDBN_157,2643.2
212,CA,CDBN_133,2469.6
213,CA,CDBN_112,3669.12
214,CA,CDBN_153,4152.96
215,CA,CDBN_220,4422.88
216,CA,CDBN_099,3179.68
217,CA,CDBN_101,2749.6
218,CA,CDBN_102,2242.24
219,CA,CDBN_110,2238.88
220,CA,CDBN_111,1790.88
221,CA,CDBN_282,2210.88
222,CA,CDBN_283,1869.28
223,CA,CDBN_057,2223.2
224,CA,CDBN_221,2171.68
225,CA,CDBN_229,4920.16
226,CA,CDBN_145,3971.52
227,CA,CDBN_103,2489.76
228,CA,CDBN_104,3052.0
229,CA,CDBN_106,4463.2
230,CA,CDBN_107,3502.24
231,CA,CDBN_177,2682.4
232,CA,CDBN_108,2348.64
233,CA,CDBN_109,2028.32
234,CA,CDBN_156,2492.0
235,CA,CDBN_194,4202.24
236,CA,CDBN_130,2657.76
237,CA,CDBN_113,3803.52
238,CA,CDBN_132,2808.96
239,CA,CDBN_162,2801.12
240,CA,CDBN_292,1613.92
241,CA,CDBN_105,3282.72
242,CA,CDBN_169,3338.72
243,CA,CDBN_231,3185.28
244,CA,CDBN_137,3655.68
245,CA,CDBN_150,3358.88
246,CA,CDBN_258,2363.2
247,CA,CDBN_264,3337.6
248,CA,CDBN_266,3400.32
249,CA,CDBN_152,2533.44
250,CA,CDBN_230,2813.44
251,CA,CDBN_209,2363.2
252,CA,CDBN_135,2765.28
253,CA,CDBN_222,2685.76
254,CA,CDBN_148,2600.64
255,CA,CDBN_227,3162.88
256,CA,CDBN_149,2539.04
257,CA,CDBN_117,1907.36
258,CA,CDBN_118,2985.92
259,CA,CDBN_122,1752.8
260,CA,CDBN_260,2485.28
261,CA,CDBN_202,3065.44
262,CA,CDBN_131,2765.28
263,CA,CDBN_151,2199.68
264,CA,CDBN_176,584.64
265,CA,CDBN_191,271.04
266,CA,CDBN_114,1344.0
267,CA,CDBN_233,1288.0
268,CO,CDBN_054,1498.56
269,CO,CDBN_351,2972.48
270,CO,CDBN_171,1929.76
271,CO,CDBN_345,3525.76
272,CO,CDBN_332,3645.6
273,CO,CDBN_339,3043.04
274,CO,CDBN_067,1797.6
275,CO,CDBN_062,2598.4
276,CO,CDBN_068,3564.96
277,CO,CDBN_172,2780.96
278,CO,CDBN_063,3442.88
279,CO,CDBN_095,1643.04
280,CO,CDBN_342,4159.68
281,CO,CDBN_069,4131.68
282,CO,CDBN_161,2724.96
283,CO,CDBN_059,2337.44
284,CO,CDBN_071,1956.64
285,CO,CDBN_310,3692.64
286,CO,CDBN_060,2107.84
287,CO,CDBN_061,2731.68
288,CO,CDBN_349,3080.0
289,CO,CDBN_052,3487.68
290,CO,CDBN_064,3681.44
291,CO,CDBN_236,3114.72
292,CO,CDBN_218,1369.76
293,CO,CDBN_262,3568.32
294,CO,CDBN_083,3848.32
295,CO,CDBN_143,3846.08
296,CO,CDBN_253,2584.96
297,CO,CDBN_237,3757.6
298,CO,CDBN_058,3576.16
299,CO,CDBN_217,3531.36
300,CO,CDBN_167,3376.8
301,CO,CDBN_261,3683.68
302,CO,CDBN_243,2565.92
303,CO,CDBN_295,3277.12
304,CO,CDBN_066,2096.64
305,CO,CDBN_269,1864.8
306,CO,CDBN_055,3152.8
307,CO,CDBN_195,3532.48
308,CO,CDBN_305,2536.8
309,CO,CDBN_174,3801.28
310,CO,CDBN_214,2798.88
311,CO,CDBN_141,2915.36
312,CO,CDBN_142,2982.56
313,CO,CDBN_255,1294.72
314,CO,CDBN_270,1164.8
315,CO,CDBN_197,1132.32
316,CO,CDBN_210,1296.96
317,CO,CDBN_085,1340.64
318,CO,CDBN_228,1487.36
319,CO,CDBN_184,2196.32
320,CO,CDBN_254,2093.28
321,CO,CDBN_215,1914.08
322,CO,CDBN_091,1729.28
323,CO,CDBN_244,1722.23830837005
324,CO,CDBN_163,1799.84
325,CO,CDBN_096,1913.87672246696
326,CO,CDBN_035,1720.17864317181
327,CO,CDBN_272,2224.95959894273
328,CO,CDBN_211,2026.97920704845
329,CO,CDBN_178,1650.06047577093
330,CO,CDBN_216,1767.99869603524
331,CO,CDBN_139,1957.66699559471
332,CO,CDBN_353,1803.72940969163
333,CO,CDBN_320,1294.72
334,CO,CDBN_252,1041.6
335,CO,CDBN_056,946.4
336,CO,CDBN_304,1243.2
337,CO,CDBN_198,992.32
338,CO,CDBN_204,854.56
339,CO,CDBN_212,1400.0
340,CO,CDBN_213,1111.04
341,CO,CDBN_225,1037.12
342,CO,CDBN_092,1107.68
343,CO,CDBN_181,2009.28
344,CO,CDBN_183,2066.4
345,CO,CDBN_019,1676.64
346,CO,CDBN_020,1095.36
347,CO,CDBN_302,1520.96
348,CO,CDBN_078,1156.96
349,CO,CDBN_165,968.8
350,CO,CDBN_158,1294.72
351,CO,CDBN_094,1790.88
352,CO,CDBN_082,2194.08
353,CO,CDBN_223,2251.2
354,CO,CDBN_245,2651.04
355,CO,CDBN_324,3102.4
356,CO,CDBN_224,2243.36
357,CO,CDBN_087,1695.68
358,CO,CDBN_010,2064.16
359,CO,CDBN_011,1684.48
360,CO,CDBN_012,1917.44
361,CO,CDBN_015,1939.84
362,CO,CDBN_016,1990.24
363,CO,CDBN_277,1591.52
364,CO,CDBN_116,1369.76
365,CO,CDBN_298,1168.16
366,CO,CDBN_299,1973.44
367,CO,CDBN_249,678.72
368,CO,CDBN_250,761.6
369,CO,CDBN_251,1048.32
370,CO,CDBN_017,1686.72
371,CO,CDBN_021,1415.68
372,CO,CDBN_089,1242.08
373,CO,CDBN_026,1340.64
374,CO,CDBN_263,1822.24
375,CO,CDBN_125,855.68
376,CO,CDBN_126,1532.16
377,CO,CDBN_127,1271.2
378,CO,CDBN_027,1426.88
379,CO,CDBN_028,1529.92
380,CO,CDBN_164,1302.56
381,CO,CDBN_044,1377.6
382,CO,CDBN_046,1422.4
383,CO,CDBN_285,826.56
384,CO,CDBN_079,1200.64
385,CO,CDBN_219,962.08
386,CO,CDBN_311,622.72
387,CO,CDBN_053,1206.24
388,CO,CDBN_065,1934.24
389,CO,CDBN_314,960.96
390,CO,CDBN_317,1084.16
391,CO,CDBN_013,2304.96
392,CO,CDBN_014,2176.16
393,CO,CDBN_051,1619.52
394,CO,CDBN_293,1174.88
395,CO,CDBN_242,1850.24
396,CO,CDBN_239,1522.08
397,CO,CDBN_159,1385.44
398,CO,CDBN_247,2244.48
399,CO,CDBN_278,1266.72
400,CO,CDBN_024,1849.12
401,CO,CDBN_268,1538.88
402,CO,CDBN_036,1992.48
403,CO,CDBN_037,1970.08
404,CO,CDBN_048,2782.08
405,CO,CDBN_271,1472.8
406,CO,CDBN_193,2013.76
407,CO,CDBN_128,1774.08
408,CO,CDBN_303,1513.12
409,CO,CDBN_199,2317.28
410,CO,CDBN_232,1368.64
411,CO,CDBN_203,827.68
412,CO,CDBN_098,1486.24
413,CO,CDBN_307,1833.44
414,CO,CDBN_138,1034.88
415,CO,CDBN_318,1755.04
416,CO,CDBN_300,1867.04
417,CO,CDBN_039,995.68
418,CO,CDBN_284,605.92
419,CO,CDBN_238,1654.24
420,CO,CDBN_290,1774.08
421,CO,CDBN_273,1638.56
422,CO,CDBN_274,1421.28
423,CO,CDBN_002,2096.64
424,CO,CDBN_115,1494.08
425,CO,CDBN_168,1629.6
426,CO,CDBN_275,2192.96
427,CO,CDBN_123,2080.96
428,CO,CDBN_259,2636.48
429,CO,CDBN_196,1851.36
430,CO,CDBN_166,2003.68
431,CO,CDBN_084,1926.4
432,CO,CDBN_226,2287.04
433,CO,CDBN_009,2218.72
434,CO,CDBN_154,1708.0
435,CO,CDBN_241,1197.28
436,CO,CDBN_267,2040.64
437,CO,CDBN_038,1514.24
438,CO,CDBN_040,2106.72
439,CO,CDBN_043,1933.12
440,CO,CDBN_093,1037.12
441,CO,CDBN_179,1467.2
442,CO,CDBN_201,1817.76
443,CO,CDBN_086,1871.52
444,CO,CDBN_088,1233.12
445,CO,CDBN_155,1960.0
446,CO,CDBN_296,1337.28
447,CO,CDBN_321,1088.64
448,CO,CDBN_248,852.32
449,CO,CDBN_301,592.48
450,CO,CDBN_257,1117.76
451,CO,CDBN_146,1344.0
452,CO,CDBN_265,1720.32
453,CO,CDBN_042,1117.76
454,CO,CDBN_306,1438.08
455,CO,CDBN_312,1674.4
456,CO,CDBN_316,1742.72
457,CO,CDBN_144,1635.2
458,CO,CDBN_170,853.44
459,CO,CDBN_288,1939.84
460,CO,CDBN_097,1666.56
461,CO,CDBN_030,2509.92
462,CO,CDBN_031,1986.88
463,CO,CDBN_032,2471.84
464,CO,CDBN_033,2369.92
465,CO,CDBN_034,2017.12
466,CO,CDBN_192,2522.24
467,CO,CDBN_041,1442.56
468,CO,CDBN_076,2355.36
469,CO,CDBN_077,2072.0
470,CO,CDBN_207,2153.76
471,CO,CDBN_186,3156.16
472,CO,CDBN_006,3226.72
473,CO,CDBN_187,2798.88
474,CO,CDBN_008,2929.92
475,CO,CDBN_007,2395.68
476,CO,CDBN_147,3060.96
477,CO,CDBN_023,3067.68
478,CO,CDBN_124,2821.28
479,CO,CDBN_073,2543.52
480,CO,CDBN_075,2178.4
481,CO,CDBN_175,2483.04
482,CO,CDBN_003,3278.24
483,CO,CDBN_005,3091.2
484,CO,CDBN_004,3231.2
485,CO,CDBN_279,1272.32
486,CO,CDBN_022,1883.84
487,CO,CDBN_322,2075.36
488,CO,CDBN_047,1891.68
489,CO,CDBN_001,945.28
490,CO,CDBN_294,2144.8
491,CO,CDBN_050,1762.88
492,CO,CDBN_297,2383.36
493,CO,CDBN_182,2076.48
494,CO,CDBN_287,1351.84
495,CO,CDBN_289,1317.12
496,CO,CDBN_045,1212.96
497,CO,CDBN_072,976.64
498,CO,CDBN_134,1640.8
499,CO,CDBN_291,848.96
500,CO,CDBN_246,1324.96
501,CO,CDBN_286,248.64
502,CO,CDBN_074,655.2
503,CO,CDBN_080,1042.72
504,CO,CDBN_090,180.32
505,CO,CDBN_081,1473.92
506,CO,CDBN_309,1563.52
507,CO,CDBN_313,1596.0
508,CO,CDBN_315,940.8
509,CO,CDBN_136,4195.52
510,CO,CDBN_323,4818.24
511,CO,CDBN_188,3414.88
512,CO,CDBN_180,4408.32
513,CO,CDBN_153,3161.76
514,CO,CDBN_319,4719.68
515,CO,CDBN_025,2570.4
516,CO,CDBN_280,2154.88
517,CO,CDBN_308,2563.68
518,CO,CDBN_049,3535.84
519,CO,CDBN_100,1870.4
520,CO,CDBN_120,3432.8
521,CO,CDBN_276,3259.2
522,CO,CDBN_281,2329.6
523,CO,CDBN_157,1741.6
524,CO,CDBN_133,3186.4
525,CO,CDBN_112,2800.0
526,CO,CDBN_220,3767.68
527,CO,CDBN_099,2324.0
528,CO,CDBN_101,2405.76
529,CO,CDBN_102,1635.2
530,CO,CDBN_110,2590.56
531,CO,CDBN_111,1615.04
532,CO,CDBN_282,2070.88
533,CO,CDBN_283,2004.8
534,CO,CDBN_057,2013.76
535,CO,CDBN_221,2968.0
536,CO,CDBN_229,4002.88
537,CO,CDBN_145,2380.0
538,CO,CDBN_103,2589.44
539,CO,CDBN_104,1919.68
540,CO,CDBN_106,3017.28
541,CO,CDBN_107,1890.56
542,CO,CDBN_177,3034.08
543,CO,CDBN_108,1995.84
544,CO,CDBN_109,1694.56
545,CO,CDBN_156,1961.12
546,CO,CDBN_194,2563.68
547,CO,CDBN_130,2203.04
548,CO,CDBN_113,2778.72
549,CO,CDBN_132,1961.12
550,CO,CDBN_162,1976.8
551,CO,CDBN_292,1064.0
552,CO,CDBN_105,3038.56
553,CO,CDBN_169,3662.4
554,CO,CDBN_231,3139.36
555,CO,CDBN_137,3246.88
556,CO,CDBN_150,3245.76
557,CO,CDBN_258,2201.92
558,CO,CDBN_264,2170.56
559,CO,CDBN_266,2829.12
560,CO,CDBN_152,2033.92
561,CO,CDBN_230,2502.08
562,CO,CDBN_209,151.2
563,CO,CDBN_135,2371.04
564,CO,CDBN_222,2806.72
565,CO,CDBN_148,2478.56
566,CO,CDBN_227,2548.0
567,CO,CDBN_149,2002.56
568,CO,CDBN_117,3431.68
569,CO,CDBN_118,3590.72
570,CO,CDBN_122,2841.44
571,CO,CDBN_260,3640.0
572,CO,CDBN_202,3660.16
573,CO,CDBN_131,3148.32
574,CO,CDBN_151,1851.36
575,CO,CDBN_176,2102.24
576,CO,CDBN_191,2027.2
577,CO,CDBN_114,2160.48
578,CO,CDBN_233,2047.36
579,ID,CDBN_054,3581.76
580,ID,CDBN_351,2780.96
581,ID,CDBN_171,1177.12
582,ID,CDBN_345,2797.76
583,ID,CDBN_332,2934.4
584,ID,CDBN_339,2080.96
585,ID,CDBN_067,2712.64
586,ID,CDBN_062,2984.8
587,ID,CDBN_068,3104.64
588,ID,CDBN_172,1432.48
589,ID,CDBN_063,2269.12
590,ID,CDBN_095,2609.6
591,ID,CDBN_342,3564.96
592,ID,CDBN_069,2644.32
593,ID,CDBN_161,1075.2
594,ID,CDBN_059,2507.68
595,ID,CDBN_071,1057.28
596,ID,CDBN_310,1944.32
597,ID,CDBN_060,1142.4
598,ID,CDBN_061,1193.92
599,ID,CDBN_349,2661.12
600,ID,CDBN_185,3502.24
601,ID,CDBN_173,3856.16
602,ID,CDBN_160,2032.8
603,ID,CDBN_070,3948.0
604,ID,CDBN_236,2623.04
605,ID,CDBN_235,2452.8
606,ID,CDBN_218,3318.56
607,ID,CDBN_343,4826.08
608,ID,CDBN_052,1718.08
609,ID,CDBN_064,2072.0
610,ID,CDBN_262,2150.4
611,ID,CDBN_083,2556.96
612,ID,CDBN_143,2871.68
613,ID,CDBN_253,1757.28
614,ID,CDBN_237,2583.84
615,ID,CDBN_058,2517.76
616,ID,CDBN_217,2714.88
617,ID,CDBN_167,2688.0
618,ID,CDBN_261,2793.28
619,ID,CDBN_243,1669.92
620,ID,CDBN_295,1955.52
621,ID,CDBN_066,1448.16
622,ID,CDBN_269,1964.48
623,ID,CDBN_055,2299.36
624,ID,CDBN_195,2497.6
625,ID,CDBN_305,2392.32
626,ID,CDBN_174,2181.76
627,ID,CDBN_214,1833.44
628,ID,CDBN_141,2098.88
629,ID,CDBN_142,2623.04
630,ID,CDBN_255,3445.12
631,ID,CDBN_270,3486.56
632,ID,CDBN_197,3230.08
633,ID,CDBN_210,4011.84
634,ID,CDBN_085,4335.52
635,ID,CDBN_228,3337.6
636,ID,CDBN_168,2345.28
637,ID,CDBN_163,2083.2
638,ID,CDBN_254,3111.36
639,ID,CDBN_096,3449.6
640,ID,CDBN_056,2228.8
641,ID,CDBN_272,3535.84
642,ID,CDBN_198,3330.88
643,ID,CDBN_200,2173.92
644,ID,CDBN_189,1999.2
645,ID,CDBN_206,2998.24
646,ID,CDBN_211,3399.2
647,ID,CDBN_215,2496.48
648,ID,CDBN_216,3204.32
649,ID,CDBN_091,1421.9856
650,ID,CDBN_244,2038.5568
651,ID,CDBN_035,2595.9808
652,ID,CDBN_178,2527.728
653,ID,CDBN_139,2425.3376
654,ID,CDBN_353,2568.6752
655,ID,CDBN_320,1872.64
656,ID,CDBN_252,985.6
657,ID,CDBN_304,275.52
658,ID,CDBN_204,939.68
659,ID,CDBN_212,1391.04
660,ID,CDBN_213,997.92
661,ID,CDBN_225,2154.88
662,ID,CDBN_092,591.36
663,ID,CDBN_181,2471.84
664,ID,CDBN_183,2623.04
665,ID,CDBN_019,426.72
666,ID,CDBN_020,973.28
667,ID,CDBN_302,2037.28
668,ID,CDBN_078,217.28
669,ID,CDBN_165,1202.88
670,ID,CDBN_158,1420.16
671,ID,CDBN_094,2130.24
672,ID,CDBN_082,2326.24
673,ID,CDBN_223,2806.72
674,ID,CDBN_245,836.64
675,ID,CDBN_324,1443.68
676,ID,CDBN_224,1438.08
677,ID,CDBN_087,932.96
678,ID,CDBN_275,2474.08
679,ID,CDBN_170,163.52
680,ID,CDBN_121,2756.32
681,ID,CDBN_026,1039.36
682,ID,CDBN_196,2259.04
683,ID,CDBN_208,3384.64
684,ID,CDBN_234,1148.0
685,ID,CDBN_316,1951.04
686,ID,CDBN_084,1955.52
687,ID,CDBN_010,4668.16
688,ID,CDBN_011,3558.24
689,ID,CDBN_012,4463.2
690,ID,CDBN_015,3622.08
691,ID,CDBN_016,4121.6
692,ID,CDBN_277,3792.32
693,ID,CDBN_116,3473.12
694,ID,CDBN_298,4212.32
695,ID,CDBN_299,4840.64
696,ID,CDBN_249,4030.88
697,ID,CDBN_250,3097.92
698,ID,CDBN_251,3569.44
699,ID,CDBN_017,4438.56
700,ID,CDBN_021,2868.32
701,ID,CDBN_089,3437.28
702,ID,CDBN_263,4118.24
703,ID,CDBN_125,3101.28
704,ID,CDBN_126,3669.12
705,ID,CDBN_127,3102.4
706,ID,CDBN_027,3166.24
707,ID,CDBN_028,3674.72
708,ID,CDBN_164,2587.2
709,ID,CDBN_044,2879.52
710,ID,CDBN_046,2892.96
711,ID,CDBN_285,2010.4
712,ID,CDBN_079,2061.92
713,ID,CDBN_219,3893.12
714,ID,CDBN_311,3558.24
715,ID,CDBN_053,4123.84
716,ID,CDBN_065,3814.72
717,ID,CDBN_314,3449.6
718,ID,CDBN_317,3893.12
719,ID,CDBN_013,2779.84
720,ID,CDBN_014,2723.84
721,ID,CDBN_051,1648.64
722,ID,CDBN_293,2085.44
723,ID,CDBN_242,2459.52
724,ID,CDBN_239,2427.04
725,ID,CDBN_159,1587.04
726,ID,CDBN_247,2494.24
727,ID,CDBN_278,1384.32
728,ID,CDBN_024,2346.4
729,ID,CDBN_268,2144.8
730,ID,CDBN_036,1921.92
731,ID,CDBN_037,2003.68
732,ID,CDBN_048,2716.0
733,ID,CDBN_271,1824.48
734,ID,CDBN_193,2247.84
735,ID,CDBN_128,2222.08
736,ID,CDBN_303,2129.12
737,ID,CDBN_199,2380.0
738,ID,CDBN_232,1803.2
739,ID,CDBN_203,1350.72
740,ID,CDBN_098,2209.76
741,ID,CDBN_307,2496.48
742,ID,CDBN_138,2154.88
743,ID,CDBN_318,2480.8
744,ID,CDBN_300,2506.56
745,ID,CDBN_039,2336.32
746,ID,CDBN_284,1975.68
747,ID,CDBN_238,2289.28
748,ID,CDBN_290,3701.6
749,ID,CDBN_273,1981.28
750,ID,CDBN_274,3931.2
751,ID,CDBN_002,1162.56
752,ID,CDBN_115,847.84
753,ID,CDBN_123,1484.0
754,ID,CDBN_259,1916.32
755,ID,CDBN_166,1696.8
756,ID,CDBN_226,2610.72
757,ID,CDBN_009,2628.64
758,ID,CDBN_154,1520.96
759,ID,CDBN_241,2432.64
760,ID,CDBN_267,2287.04
761,ID,CDBN_038,1299.2
762,ID,CDBN_040,3212.16
763,ID,CDBN_043,1825.6
764,ID,CDBN_093,1143.52
765,ID,CDBN_179,2683.52
766,ID,CDBN_201,1593.76
767,ID,CDBN_086,2629.76
768,ID,CDBN_088,1246.56
769,ID,CDBN_155,3090.08
770,ID,CDBN_296,2942.24
771,ID,CDBN_321,2203.04
772,ID,CDBN_248,1008.0
773,ID,CDBN_301,2444.96
774,ID,CDBN_257,1112.16
775,ID,CDBN_146,2172.8
776,ID,CDBN_265,2779.84
777,ID,CDBN_042,2276.96
778,ID,CDBN_306,3333.12
779,ID,CDBN_312,3232.32
780,ID,CDBN_144,3119.2
781,ID,CDBN_288,2341.92
782,ID,CDBN_097,1797.6
783,ID,CDBN_030,1990.24
784,ID,CDBN_031,2311.68
785,ID,CDBN_032,3234.56
786,ID,CDBN_033,1505.28
787,ID,CDBN_034,2184.0
788,ID,CDBN_192,1604.96
789,ID,CDBN_041,1395.52
790,ID,CDBN_076,2925.44
791,ID,CDBN_077,509.6
792,ID,CDBN_207,1232.0
793,ID,CDBN_186,3321.92
794,ID,CDBN_006,3020.64
795,ID,CDBN_187,3317.44
796,ID,CDBN_008,3531.36
797,ID,CDBN_007,2178.4
798,ID,CDBN_147,3405.92
799,ID,CDBN_023,2335.2
800,ID,CDBN_124,2811.2
801,ID,CDBN_073,2595.04
802,ID,CDBN_075,2107.84
803,ID,CDBN_175,2489.76
804,ID,CDBN_003,3693.76
805,ID,CDBN_005,3106.88
806,ID,CDBN_004,4173.12
807,ID,CDBN_279,2409.12
808,ID,CDBN_022,2548.0
809,ID,CDBN_322,2763.04
810,ID,CDBN_047,2166.08
811,ID,CDBN_001,1974.56
812,ID,CDBN_294,4504.64
813,ID,CDBN_050,3330.88
814,ID,CDBN_297,4506.88
815,ID,CDBN_182,4478.88
816,ID,CDBN_287,3389.12
817,ID,CDBN_289,2588.32
818,ID,CDBN_045,2757.44
819,ID,CDBN_072,2492.0
820,ID,CDBN_134,3403.68
