,location,genotype,SW
887,WY,CDBN_170,44.0
888,WY,CDBN_288,46.0
889,WY,CDBN_146,47.0
890,WY,CDBN_097,49.0
891,WY,CDBN_265,49.0
892,WY,CDBN_030,50.0
893,WY,CDBN_031,44.0
894,WY,CDBN_032,49.0
895,WY,CDBN_033,49.0
896,WY,CDBN_034,47.0
897,WY,CDBN_192,49.0
898,WY,CDBN_038,50.0
899,WY,CDBN_040,48.0
900,WY,CDBN_041,42.0
901,WY,CDBN_043,50.0
902,WY,CDBN_093,44.0
903,WY,CDBN_076,52.0
904,WY,CDBN_077,50.0
905,WY,CDBN_196,50.0
906,WY,CDBN_179,52.0
907,WY,CDBN_238,52.0
908,WY,CDBN_324,47.0
909,WY,CDBN_306,47.0
910,WY,CDBN_207,52.0
911,WY,CDBN_312,46.0
912,WY,CDBN_316,51.0
913,WY,CDBN_273,52.0
914,WY,CDBN_002,42.0
915,WY,CDBN_115,45.0
916,WY,CDBN_168,46.0
917,WY,CDBN_275,48.0
918,WY,CDBN_300,48.0
919,WY,CDBN_123,44.0
920,WY,CDBN_259,42.0
921,WY,CDBN_039,47.0
922,WY,CDBN_166,45.0
923,WY,CDBN_290,41.0
924,WY,CDBN_084,45.0
925,WY,CDBN_226,47.0
