"","env","Seq_ID","DM"
"X.COFC2015.","COFC2015","CDBN_054",84
"X.COFC2015..1","COFC2015","CDBN_351",85
"X.COFC2015..2","COFC2015","CDBN_171",80
"X.COFC2015..3","COFC2015","CDBN_345",84
"X.COFC2015..4","COFC2015","CDBN_332",82
"X.COFC2015..5","COFC2015","CDBN_339",81
"X.COFC2015..6","COFC2015","CDBN_067",89
"X.COFC2015..7","COFC2015","CDBN_062",85
"X.COFC2015..8","COFC2015","CDBN_068",88
"X.COFC2015..9","COFC2015","CDBN_172",85
"X.COFC2015..10","COFC2015","CDBN_063",89
"X.COFC2015..11","COFC2015","CDBN_095",74
"X.COFC2015..12","COFC2015","CDBN_342",87
"X.COFC2015..13","COFC2015","CDBN_069",83
"X.COFC2015..14","COFC2015","CDBN_161",84
"X.COFC2015..15","COFC2015","CDBN_059",83
"X.COFC2015..16","COFC2015","CDBN_071",80
"X.COFC2015..17","COFC2015","CDBN_310",89
"X.COFC2015..18","COFC2015","CDBN_060",80
"X.COFC2015..19","COFC2015","CDBN_061",87
"X.COFC2015..20","COFC2015","CDBN_349",87
"X.MIEN2015.","MIEN2015","CDBN_171",103
"X.MIEN2015..1","MIEN2015","CDBN_339",109
"X.MIEN2015..2","MIEN2015","CDBN_172",110
"X.MIEN2015..3","MIEN2015","CDBN_063",94
"X.MIEN2015..4","MIEN2015","CDBN_161",109
"X.MIEN2015..5","MIEN2015","CDBN_071",103
"X.MIEN2015..6","MIEN2015","CDBN_060",106
"X.MIEN2015..7","MIEN2015","CDBN_061",109
"X.MISA2015.","MISA2015","CDBN_054",91
"X.MISA2015..1","MISA2015","CDBN_351",98
"X.MISA2015..2","MISA2015","CDBN_345",96
"X.MISA2015..3","MISA2015","CDBN_332",97
"X.MISA2015..4","MISA2015","CDBN_067",103
"X.MISA2015..5","MISA2015","CDBN_062",108
"X.MISA2015..6","MISA2015","CDBN_068",105
"X.MISA2015..7","MISA2015","CDBN_095",88
"X.MISA2015..8","MISA2015","CDBN_342",93
"X.MISA2015..9","MISA2015","CDBN_069",92
"X.MISA2015..10","MISA2015","CDBN_059",100
"X.MISA2015..11","MISA2015","CDBN_310",97
"X.MISA2015..12","MISA2015","CDBN_349",96
"X.MNPR2015.","MNPR2015","CDBN_171",90
"X.MNPR2015..1","MNPR2015","CDBN_339",102
"X.MNPR2015..2","MNPR2015","CDBN_172",96
"X.MNPR2015..3","MNPR2015","CDBN_063",104
"X.MNPR2015..4","MNPR2015","CDBN_161",104
"X.MNPR2015..5","MNPR2015","CDBN_071",88
"X.MNPR2015..6","MNPR2015","CDBN_060",94
"X.MNPR2015..7","MNPR2015","CDBN_061",101
"X.NDHA2015.","NDHA2015","CDBN_054",101
"X.NDHA2015..1","NDHA2015","CDBN_351",98
"X.NDHA2015..2","NDHA2015","CDBN_345",104
"X.NDHA2015..3","NDHA2015","CDBN_332",96
"X.NDHA2015..4","NDHA2015","CDBN_067",103
"X.NDHA2015..5","NDHA2015","CDBN_062",100
"X.NDHA2015..6","NDHA2015","CDBN_068",104
"X.NDHA2015..7","NDHA2015","CDBN_095",92
"X.NDHA2015..8","NDHA2015","CDBN_342",100
"X.NDHA2015..9","NDHA2015","CDBN_069",85
"X.NDHA2015..10","NDHA2015","CDBN_059",104
"X.NDHA2015..11","NDHA2015","CDBN_310",103
"X.NDHA2015..12","NDHA2015","CDBN_349",100
"X.NESB2015.","NESB2015","CDBN_054",84
"X.NESB2015..1","NESB2015","CDBN_351",91
"X.NESB2015..2","NESB2015","CDBN_171",81
"X.NESB2015..3","NESB2015","CDBN_345",92
"X.NESB2015..4","NESB2015","CDBN_332",89
"X.NESB2015..5","NESB2015","CDBN_339",85
"X.NESB2015..6","NESB2015","CDBN_067",98
"X.NESB2015..7","NESB2015","CDBN_062",95
"X.NESB2015..8","NESB2015","CDBN_068",93
"X.NESB2015..9","NESB2015","CDBN_172",86
"X.NESB2015..10","NESB2015","CDBN_063",91
"X.NESB2015..11","NESB2015","CDBN_095",80
"X.NESB2015..12","NESB2015","CDBN_342",87
"X.NESB2015..13","NESB2015","CDBN_069",82
"X.NESB2015..14","NESB2015","CDBN_161",92
"X.NESB2015..15","NESB2015","CDBN_059",87
"X.NESB2015..16","NESB2015","CDBN_071",79
"X.NESB2015..17","NESB2015","CDBN_310",87
"X.NESB2015..18","NESB2015","CDBN_060",88
"X.NESB2015..19","NESB2015","CDBN_061",87
"X.NESB2015..20","NESB2015","CDBN_349",90
"X.ONEL2015.","ONEL2015","CDBN_054",102
"X.ONEL2015..1","ONEL2015","CDBN_351",100
"X.ONEL2015..2","ONEL2015","CDBN_171",91
"X.ONEL2015..3","ONEL2015","CDBN_345",104
"X.ONEL2015..4","ONEL2015","CDBN_332",95
"X.ONEL2015..5","ONEL2015","CDBN_339",91
"X.ONEL2015..6","ONEL2015","CDBN_067",105
"X.ONEL2015..7","ONEL2015","CDBN_062",103
"X.ONEL2015..8","ONEL2015","CDBN_068",101
"X.ONEL2015..9","ONEL2015","CDBN_172",98
"X.ONEL2015..10","ONEL2015","CDBN_063",93
"X.ONEL2015..11","ONEL2015","CDBN_095",87
"X.ONEL2015..12","ONEL2015","CDBN_342",98
"X.ONEL2015..13","ONEL2015","CDBN_069",95
"X.ONEL2015..14","ONEL2015","CDBN_161",98
"X.ONEL2015..15","ONEL2015","CDBN_059",92
"X.ONEL2015..16","ONEL2015","CDBN_071",91
"X.ONEL2015..17","ONEL2015","CDBN_310",100
"X.ONEL2015..18","ONEL2015","CDBN_060",96
"X.ONEL2015..19","ONEL2015","CDBN_061",93
"X.ONEL2015..20","ONEL2015","CDBN_349",101
"X.WAOT2015.","WAOT2015","CDBN_054",99
"X.WAOT2015..1","WAOT2015","CDBN_351",105
"X.WAOT2015..2","WAOT2015","CDBN_171",84
"X.WAOT2015..3","WAOT2015","CDBN_345",110
"X.WAOT2015..4","WAOT2015","CDBN_332",100
"X.WAOT2015..5","WAOT2015","CDBN_339",97
"X.WAOT2015..6","WAOT2015","CDBN_067",114
"X.WAOT2015..7","WAOT2015","CDBN_062",112
"X.WAOT2015..8","WAOT2015","CDBN_068",113
"X.WAOT2015..9","WAOT2015","CDBN_172",93
"X.WAOT2015..10","WAOT2015","CDBN_063",101
"X.WAOT2015..11","WAOT2015","CDBN_095",101
"X.WAOT2015..12","WAOT2015","CDBN_342",102
"X.WAOT2015..13","WAOT2015","CDBN_069",95
"X.WAOT2015..14","WAOT2015","CDBN_161",102
"X.WAOT2015..15","WAOT2015","CDBN_059",109
"X.WAOT2015..16","WAOT2015","CDBN_071",85
"X.WAOT2015..17","WAOT2015","CDBN_310",113
"X.WAOT2015..18","WAOT2015","CDBN_060",98
"X.WAOT2015..19","WAOT2015","CDBN_061",93
"X.WAOT2015..20","WAOT2015","CDBN_349",109
"X.WYPO2015.","WYPO2015","CDBN_054",87
"X.WYPO2015..1","WYPO2015","CDBN_351",79
"X.WYPO2015..2","WYPO2015","CDBN_171",85
"X.WYPO2015..3","WYPO2015","CDBN_345",75
"X.WYPO2015..4","WYPO2015","CDBN_332",80
"X.WYPO2015..5","WYPO2015","CDBN_339",83
"X.WYPO2015..6","WYPO2015","CDBN_067",84
"X.WYPO2015..7","WYPO2015","CDBN_062",77
"X.WYPO2015..8","WYPO2015","CDBN_068",80
"X.WYPO2015..9","WYPO2015","CDBN_172",78
"X.WYPO2015..10","WYPO2015","CDBN_063",78
"X.WYPO2015..11","WYPO2015","CDBN_095",83
"X.WYPO2015..12","WYPO2015","CDBN_342",88
"X.WYPO2015..13","WYPO2015","CDBN_069",83
"X.WYPO2015..14","WYPO2015","CDBN_161",81
"X.WYPO2015..15","WYPO2015","CDBN_059",84
"X.WYPO2015..16","WYPO2015","CDBN_071",83
"X.WYPO2015..17","WYPO2015","CDBN_310",87
"X.WYPO2015..18","WYPO2015","CDBN_060",84
"X.WYPO2015..19","WYPO2015","CDBN_061",86
"X.WYPO2015..20","WYPO2015","CDBN_349",83
"X.IDKI2014.","IDKI2014","CDBN_054",100
"X.IDKI2014..1","IDKI2014","CDBN_171",100
"X.IDKI2014..2","IDKI2014","CDBN_185",98
"X.IDKI2014..3","IDKI2014","CDBN_067",105
"X.IDKI2014..4","IDKI2014","CDBN_062",105
"X.IDKI2014..5","IDKI2014","CDBN_068",105
"X.IDKI2014..6","IDKI2014","CDBN_172",105
"X.IDKI2014..7","IDKI2014","CDBN_173",100
"X.IDKI2014..8","IDKI2014","CDBN_160",105
"X.IDKI2014..9","IDKI2014","CDBN_063",105
"X.IDKI2014..10","IDKI2014","CDBN_095",92
"X.IDKI2014..11","IDKI2014","CDBN_069",105
"X.IDKI2014..12","IDKI2014","CDBN_070",105
"X.IDKI2014..13","IDKI2014","CDBN_236",105
"X.IDKI2014..14","IDKI2014","CDBN_161",105
"X.IDKI2014..15","IDKI2014","CDBN_059",105
"X.IDKI2014..16","IDKI2014","CDBN_071",102
"X.IDKI2014..17","IDKI2014","CDBN_310",100
"X.IDKI2014..18","IDKI2014","CDBN_060",105
"X.IDKI2014..19","IDKI2014","CDBN_235",98
"X.IDKI2014..20","IDKI2014","CDBN_218",102
"X.IDKI2014..21","IDKI2014","CDBN_343",105
"X.IDKI2014..22","IDKI2014","CDBN_061",105
"X.MIEN2014.","MIEN2014","CDBN_171",95
"X.MIEN2014..1","MIEN2014","CDBN_172",100
"X.MIEN2014..2","MIEN2014","CDBN_160",97
"X.MIEN2014..3","MIEN2014","CDBN_063",104
"X.MIEN2014..4","MIEN2014","CDBN_161",98
"X.MIEN2014..5","MIEN2014","CDBN_071",97
"X.MIEN2014..6","MIEN2014","CDBN_060",98
"X.MIEN2014..7","MIEN2014","CDBN_061",100
"X.MISA2014.","MISA2014","CDBN_054",90
"X.MISA2014..1","MISA2014","CDBN_185",97
"X.MISA2014..2","MISA2014","CDBN_067",97
"X.MISA2014..3","MISA2014","CDBN_062",99
"X.MISA2014..4","MISA2014","CDBN_068",96
"X.MISA2014..5","MISA2014","CDBN_173",90
"X.MISA2014..6","MISA2014","CDBN_095",85
"X.MISA2014..7","MISA2014","CDBN_069",91
"X.MISA2014..8","MISA2014","CDBN_070",92
"X.MISA2014..9","MISA2014","CDBN_236",95
"X.MISA2014..10","MISA2014","CDBN_059",94
"X.MISA2014..11","MISA2014","CDBN_310",96
"X.MISA2014..12","MISA2014","CDBN_235",89
"X.MISA2014..13","MISA2014","CDBN_218",92
"X.MISA2014..14","MISA2014","CDBN_343",92
"X.NDHA2014.","NDHA2014","CDBN_054",102
"X.NDHA2014..1","NDHA2014","CDBN_185",102
"X.NDHA2014..2","NDHA2014","CDBN_067",106
"X.NDHA2014..3","NDHA2014","CDBN_062",100
"X.NDHA2014..4","NDHA2014","CDBN_068",109
"X.NDHA2014..5","NDHA2014","CDBN_173",101
"X.NDHA2014..6","NDHA2014","CDBN_095",94
"X.NDHA2014..7","NDHA2014","CDBN_069",101
"X.NDHA2014..8","NDHA2014","CDBN_070",103
"X.NDHA2014..9","NDHA2014","CDBN_236",106
"X.NDHA2014..10","NDHA2014","CDBN_059",103
"X.NDHA2014..11","NDHA2014","CDBN_310",103
"X.NDHA2014..12","NDHA2014","CDBN_235",100
"X.NDHA2014..13","NDHA2014","CDBN_218",107
"X.NDHA2014..14","NDHA2014","CDBN_343",103
"X.NESB2014.","NESB2014","CDBN_054",91
"X.NESB2014..1","NESB2014","CDBN_171",89
"X.NESB2014..2","NESB2014","CDBN_185",96
"X.NESB2014..3","NESB2014","CDBN_067",99
"X.NESB2014..4","NESB2014","CDBN_062",98
"X.NESB2014..5","NESB2014","CDBN_068",99
"X.NESB2014..6","NESB2014","CDBN_172",94
"X.NESB2014..7","NESB2014","CDBN_173",89
"X.NESB2014..8","NESB2014","CDBN_160",91
"X.NESB2014..9","NESB2014","CDBN_063",97
"X.NESB2014..10","NESB2014","CDBN_095",87
"X.NESB2014..11","NESB2014","CDBN_069",89
"X.NESB2014..12","NESB2014","CDBN_070",91
"X.NESB2014..13","NESB2014","CDBN_236",96
"X.NESB2014..14","NESB2014","CDBN_161",97
"X.NESB2014..15","NESB2014","CDBN_059",89
"X.NESB2014..16","NESB2014","CDBN_071",96
"X.NESB2014..17","NESB2014","CDBN_310",96
"X.NESB2014..18","NESB2014","CDBN_060",90
"X.NESB2014..19","NESB2014","CDBN_235",88
"X.NESB2014..20","NESB2014","CDBN_218",95
"X.NESB2014..21","NESB2014","CDBN_343",91
"X.NESB2014..22","NESB2014","CDBN_061",94
"X.NYFR2014.","NYFR2014","CDBN_054",87
"X.NYFR2014..1","NYFR2014","CDBN_171",85
"X.NYFR2014..2","NYFR2014","CDBN_185",93
"X.NYFR2014..3","NYFR2014","CDBN_067",99
"X.NYFR2014..4","NYFR2014","CDBN_062",99
"X.NYFR2014..5","NYFR2014","CDBN_068",96
"X.NYFR2014..6","NYFR2014","CDBN_172",96
"X.NYFR2014..7","NYFR2014","CDBN_173",84
"X.NYFR2014..8","NYFR2014","CDBN_160",88
"X.NYFR2014..9","NYFR2014","CDBN_063",100
"X.NYFR2014..10","NYFR2014","CDBN_095",78
"X.NYFR2014..11","NYFR2014","CDBN_069",86
"X.NYFR2014..12","NYFR2014","CDBN_070",86
"X.NYFR2014..13","NYFR2014","CDBN_236",96
"X.NYFR2014..14","NYFR2014","CDBN_161",97
"X.NYFR2014..15","NYFR2014","CDBN_059",92
"X.NYFR2014..16","NYFR2014","CDBN_071",90
"X.NYFR2014..17","NYFR2014","CDBN_310",100
"X.NYFR2014..18","NYFR2014","CDBN_060",88
"X.NYFR2014..19","NYFR2014","CDBN_235",83
"X.NYFR2014..20","NYFR2014","CDBN_218",91
"X.NYFR2014..21","NYFR2014","CDBN_343",92
"X.NYFR2014..22","NYFR2014","CDBN_061",95
"X.ONEL2014.","ONEL2014","CDBN_054",106
"X.ONEL2014..1","ONEL2014","CDBN_171",109
"X.ONEL2014..2","ONEL2014","CDBN_185",112
"X.ONEL2014..3","ONEL2014","CDBN_067",113
"X.ONEL2014..4","ONEL2014","CDBN_062",116
"X.ONEL2014..5","ONEL2014","CDBN_068",112
"X.ONEL2014..6","ONEL2014","CDBN_172",115
"X.ONEL2014..7","ONEL2014","CDBN_173",104
"X.ONEL2014..8","ONEL2014","CDBN_160",106
"X.ONEL2014..9","ONEL2014","CDBN_063",114
"X.ONEL2014..10","ONEL2014","CDBN_095",94
"X.ONEL2014..11","ONEL2014","CDBN_069",107
"X.ONEL2014..12","ONEL2014","CDBN_070",103
"X.ONEL2014..13","ONEL2014","CDBN_236",110
"X.ONEL2014..14","ONEL2014","CDBN_161",115
"X.ONEL2014..15","ONEL2014","CDBN_059",105
"X.ONEL2014..16","ONEL2014","CDBN_071",105
"X.ONEL2014..17","ONEL2014","CDBN_310",113
"X.ONEL2014..18","ONEL2014","CDBN_060",113
"X.ONEL2014..19","ONEL2014","CDBN_235",101
"X.ONEL2014..20","ONEL2014","CDBN_218",106
"X.ONEL2014..21","ONEL2014","CDBN_343",110
"X.ONEL2014..22","ONEL2014","CDBN_061",115
"X.WAOT2014.","WAOT2014","CDBN_054",98
"X.WAOT2014..1","WAOT2014","CDBN_171",74
"X.WAOT2014..2","WAOT2014","CDBN_185",100
"X.WAOT2014..3","WAOT2014","CDBN_067",115
"X.WAOT2014..4","WAOT2014","CDBN_062",108
"X.WAOT2014..5","WAOT2014","CDBN_068",105
"X.WAOT2014..6","WAOT2014","CDBN_172",91
"X.WAOT2014..7","WAOT2014","CDBN_173",96
"X.WAOT2014..8","WAOT2014","CDBN_160",83
"X.WAOT2014..9","WAOT2014","CDBN_063",96
"X.WAOT2014..10","WAOT2014","CDBN_095",91
"X.WAOT2014..11","WAOT2014","CDBN_069",95
"X.WAOT2014..12","WAOT2014","CDBN_070",95
"X.WAOT2014..13","WAOT2014","CDBN_236",101
"X.WAOT2014..14","WAOT2014","CDBN_161",92
"X.WAOT2014..15","WAOT2014","CDBN_059",101
"X.WAOT2014..16","WAOT2014","CDBN_071",82
"X.WAOT2014..17","WAOT2014","CDBN_310",105
"X.WAOT2014..18","WAOT2014","CDBN_060",94
"X.WAOT2014..19","WAOT2014","CDBN_235",91
"X.WAOT2014..20","WAOT2014","CDBN_218",94
"X.WAOT2014..21","WAOT2014","CDBN_343",98
"X.WAOT2014..22","WAOT2014","CDBN_061",92
"X.COFC2013.","COFC2013","CDBN_171",79
"X.COFC2013..1","COFC2013","CDBN_052",89
"X.COFC2013..2","COFC2013","CDBN_172",85
"X.COFC2013..3","COFC2013","CDBN_063",89
"X.COFC2013..4","COFC2013","CDBN_095",75
"X.COFC2013..5","COFC2013","CDBN_064",93
"X.COFC2013..6","COFC2013","CDBN_236",89
"X.COFC2013..7","COFC2013","CDBN_310",92
"X.COFC2013..8","COFC2013","CDBN_218",81
"X.COFC2013..9","COFC2013","CDBN_262",90
"X.COFC2013..10","COFC2013","CDBN_083",89
"X.COFC2013..11","COFC2013","CDBN_143",91
"X.MIEN2013.","MIEN2013","CDBN_171",98
"X.MIEN2013..1","MIEN2013","CDBN_052",106
"X.MIEN2013..2","MIEN2013","CDBN_172",102
"X.MIEN2013..3","MIEN2013","CDBN_063",105
"X.MISA2013.","MISA2013","CDBN_095",95
"X.MISA2013..1","MISA2013","CDBN_064",106
"X.MISA2013..2","MISA2013","CDBN_236",101
"X.MISA2013..3","MISA2013","CDBN_310",104
"X.MISA2013..4","MISA2013","CDBN_218",101
"X.MISA2013..5","MISA2013","CDBN_262",102
"X.MISA2013..6","MISA2013","CDBN_083",100
"X.MISA2013..7","MISA2013","CDBN_143",98
"X.NDFA2013.","NDFA2013","CDBN_171",100
"X.NDFA2013..1","NDFA2013","CDBN_052",107
"X.NDFA2013..2","NDFA2013","CDBN_172",109
"X.NDFA2013..3","NDFA2013","CDBN_063",114
"X.NDFA2013..4","NDFA2013","CDBN_095",90
"X.NDFA2013..5","NDFA2013","CDBN_064",95
"X.NDFA2013..6","NDFA2013","CDBN_236",100
"X.NDFA2013..7","NDFA2013","CDBN_310",96
"X.NDFA2013..8","NDFA2013","CDBN_218",91
"X.NDFA2013..9","NDFA2013","CDBN_262",94
"X.NDFA2013..10","NDFA2013","CDBN_083",91
"X.NDFA2013..11","NDFA2013","CDBN_143",94
"X.NESB2013.","NESB2013","CDBN_171",86
"X.NESB2013..1","NESB2013","CDBN_052",101
"X.NESB2013..2","NESB2013","CDBN_172",92
"X.NESB2013..3","NESB2013","CDBN_063",101
"X.NESB2013..4","NESB2013","CDBN_095",86
"X.NESB2013..5","NESB2013","CDBN_064",98
"X.NESB2013..6","NESB2013","CDBN_236",91
"X.NESB2013..7","NESB2013","CDBN_310",92
"X.NESB2013..8","NESB2013","CDBN_218",91
"X.NESB2013..9","NESB2013","CDBN_262",90
"X.NESB2013..10","NESB2013","CDBN_083",88
"X.NESB2013..11","NESB2013","CDBN_143",90
"X.NYFR2013.","NYFR2013","CDBN_171",76
"X.NYFR2013..1","NYFR2013","CDBN_052",102
"X.NYFR2013..2","NYFR2013","CDBN_172",88
"X.NYFR2013..3","NYFR2013","CDBN_063",102
"X.NYFR2013..4","NYFR2013","CDBN_095",74
"X.NYFR2013..5","NYFR2013","CDBN_064",92
"X.NYFR2013..6","NYFR2013","CDBN_236",87
"X.NYFR2013..7","NYFR2013","CDBN_310",89
"X.NYFR2013..8","NYFR2013","CDBN_218",85
"X.NYFR2013..9","NYFR2013","CDBN_262",86
"X.NYFR2013..10","NYFR2013","CDBN_083",82
"X.NYFR2013..11","NYFR2013","CDBN_143",85
"X.ONEL2013.","ONEL2013","CDBN_171",108
"X.ONEL2013..1","ONEL2013","CDBN_052",120
"X.ONEL2013..2","ONEL2013","CDBN_172",115
"X.ONEL2013..3","ONEL2013","CDBN_063",119
"X.ONEL2013..4","ONEL2013","CDBN_095",102
"X.ONEL2013..5","ONEL2013","CDBN_064",119
"X.ONEL2013..6","ONEL2013","CDBN_236",112
"X.ONEL2013..7","ONEL2013","CDBN_310",120
"X.ONEL2013..8","ONEL2013","CDBN_218",116
"X.ONEL2013..9","ONEL2013","CDBN_262",117
"X.ONEL2013..10","ONEL2013","CDBN_083",109
"X.ONEL2013..11","ONEL2013","CDBN_143",114
"X.WAOT2013.","WAOT2013","CDBN_171",91
"X.WAOT2013..1","WAOT2013","CDBN_052",112
"X.WAOT2013..2","WAOT2013","CDBN_172",98
"X.WAOT2013..3","WAOT2013","CDBN_063",107
"X.WAOT2013..4","WAOT2013","CDBN_095",89
"X.WAOT2013..5","WAOT2013","CDBN_064",107
"X.WAOT2013..6","WAOT2013","CDBN_236",106
"X.WAOT2013..7","WAOT2013","CDBN_310",104
"X.WAOT2013..8","WAOT2013","CDBN_218",91
"X.WAOT2013..9","WAOT2013","CDBN_262",103
"X.WAOT2013..10","WAOT2013","CDBN_083",101
"X.WAOT2013..11","WAOT2013","CDBN_143",107
"X.WYPO2013.","WYPO2013","CDBN_171",89
"X.WYPO2013..1","WYPO2013","CDBN_052",97
"X.WYPO2013..2","WYPO2013","CDBN_172",97
"X.WYPO2013..3","WYPO2013","CDBN_063",94
"X.WYPO2013..4","WYPO2013","CDBN_095",86
"X.WYPO2013..5","WYPO2013","CDBN_064",102
"X.WYPO2013..6","WYPO2013","CDBN_236",95
"X.WYPO2013..7","WYPO2013","CDBN_310",101
"X.WYPO2013..8","WYPO2013","CDBN_218",92
"X.WYPO2013..9","WYPO2013","CDBN_262",96
"X.WYPO2013..10","WYPO2013","CDBN_083",97
"X.WYPO2013..11","WYPO2013","CDBN_143",97
"X.COFC2012.","COFC2012","CDBN_171",92
"X.COFC2012..1","COFC2012","CDBN_253",93
"X.COFC2012..2","COFC2012","CDBN_237",93
"X.COFC2012..3","COFC2012","CDBN_172",97
"X.COFC2012..4","COFC2012","CDBN_095",86
"X.COFC2012..5","COFC2012","CDBN_064",103
"X.COFC2012..6","COFC2012","CDBN_058",95
"X.COFC2012..7","COFC2012","CDBN_236",100
"X.COFC2012..8","COFC2012","CDBN_217",101
"X.COFC2012..9","COFC2012","CDBN_310",102
"X.COFC2012..10","COFC2012","CDBN_218",94
"X.COFC2012..11","COFC2012","CDBN_167",104
"X.COFC2012..12","COFC2012","CDBN_261",94
"X.COFC2012..13","COFC2012","CDBN_143",101
"X.MIEN2012.","MIEN2012","CDBN_171",92
"X.MIEN2012..1","MIEN2012","CDBN_172",94
"X.MIEN2012..2","MIEN2012","CDBN_167",103
"X.MISA2012.","MISA2012","CDBN_253",101
"X.MISA2012..1","MISA2012","CDBN_237",101
"X.MISA2012..2","MISA2012","CDBN_095",93
"X.MISA2012..3","MISA2012","CDBN_064",103
"X.MISA2012..4","MISA2012","CDBN_058",98
"X.MISA2012..5","MISA2012","CDBN_236",96
"X.MISA2012..6","MISA2012","CDBN_217",100
"X.MISA2012..7","MISA2012","CDBN_310",103
"X.MISA2012..8","MISA2012","CDBN_218",101
"X.MISA2012..9","MISA2012","CDBN_261",104
"X.MISA2012..10","MISA2012","CDBN_143",97
"X.NDFA2012.","NDFA2012","CDBN_171",79
"X.NDFA2012..1","NDFA2012","CDBN_253",107
"X.NDFA2012..2","NDFA2012","CDBN_237",111
"X.NDFA2012..3","NDFA2012","CDBN_172",94
"X.NDFA2012..4","NDFA2012","CDBN_095",106
"X.NDFA2012..5","NDFA2012","CDBN_064",111
"X.NDFA2012..6","NDFA2012","CDBN_058",106
"X.NDFA2012..7","NDFA2012","CDBN_236",106
"X.NDFA2012..8","NDFA2012","CDBN_217",110
"X.NDFA2012..9","NDFA2012","CDBN_310",106
"X.NDFA2012..10","NDFA2012","CDBN_218",110
"X.NDFA2012..11","NDFA2012","CDBN_167",100
"X.NDFA2012..12","NDFA2012","CDBN_261",107
"X.NDFA2012..13","NDFA2012","CDBN_143",109
"X.NESB2012.","NESB2012","CDBN_171",86
"X.NESB2012..1","NESB2012","CDBN_253",96
"X.NESB2012..2","NESB2012","CDBN_237",94
"X.NESB2012..3","NESB2012","CDBN_172",94
"X.NESB2012..4","NESB2012","CDBN_095",86
"X.NESB2012..5","NESB2012","CDBN_064",101
"X.NESB2012..6","NESB2012","CDBN_058",93
"X.NESB2012..7","NESB2012","CDBN_236",97
"X.NESB2012..8","NESB2012","CDBN_217",96
"X.NESB2012..9","NESB2012","CDBN_310",99
"X.NESB2012..10","NESB2012","CDBN_218",97
"X.NESB2012..11","NESB2012","CDBN_167",98
"X.NESB2012..12","NESB2012","CDBN_261",94
"X.NESB2012..13","NESB2012","CDBN_143",97
"X.NYFR2012.","NYFR2012","CDBN_171",80
"X.NYFR2012..1","NYFR2012","CDBN_253",78
"X.NYFR2012..2","NYFR2012","CDBN_237",77
"X.NYFR2012..3","NYFR2012","CDBN_172",80
"X.NYFR2012..4","NYFR2012","CDBN_095",71
"X.NYFR2012..5","NYFR2012","CDBN_064",79
"X.NYFR2012..6","NYFR2012","CDBN_058",77
"X.NYFR2012..7","NYFR2012","CDBN_236",77
"X.NYFR2012..8","NYFR2012","CDBN_217",79
"X.NYFR2012..9","NYFR2012","CDBN_310",80
"X.NYFR2012..10","NYFR2012","CDBN_218",76
"X.NYFR2012..11","NYFR2012","CDBN_167",88
"X.NYFR2012..12","NYFR2012","CDBN_261",76
"X.NYFR2012..13","NYFR2012","CDBN_143",80
"X.ONEL2012.","ONEL2012","CDBN_171",91
"X.ONEL2012..1","ONEL2012","CDBN_253",92
"X.ONEL2012..2","ONEL2012","CDBN_237",94
"X.ONEL2012..3","ONEL2012","CDBN_172",98
"X.ONEL2012..4","ONEL2012","CDBN_095",86
"X.ONEL2012..5","ONEL2012","CDBN_064",103
"X.ONEL2012..6","ONEL2012","CDBN_058",93
"X.ONEL2012..7","ONEL2012","CDBN_236",94
"X.ONEL2012..8","ONEL2012","CDBN_217",93
"X.ONEL2012..9","ONEL2012","CDBN_310",104
"X.ONEL2012..10","ONEL2012","CDBN_218",94
"X.ONEL2012..11","ONEL2012","CDBN_167",104
"X.ONEL2012..12","ONEL2012","CDBN_261",94
"X.ONEL2012..13","ONEL2012","CDBN_143",96
"X.WAOT2012.","WAOT2012","CDBN_171",89
"X.WAOT2012..1","WAOT2012","CDBN_253",103
"X.WAOT2012..2","WAOT2012","CDBN_237",99
"X.WAOT2012..3","WAOT2012","CDBN_172",93
"X.WAOT2012..4","WAOT2012","CDBN_095",87
"X.WAOT2012..5","WAOT2012","CDBN_064",108
"X.WAOT2012..6","WAOT2012","CDBN_058",103
"X.WAOT2012..7","WAOT2012","CDBN_236",103
"X.WAOT2012..8","WAOT2012","CDBN_217",107
"X.WAOT2012..9","WAOT2012","CDBN_310",103
"X.WAOT2012..10","WAOT2012","CDBN_218",102
"X.WAOT2012..11","WAOT2012","CDBN_167",107
"X.WAOT2012..12","WAOT2012","CDBN_261",97
"X.WAOT2012..13","WAOT2012","CDBN_143",101
"X.WYPO2012.","WYPO2012","CDBN_171",82
"X.WYPO2012..1","WYPO2012","CDBN_253",87
"X.WYPO2012..2","WYPO2012","CDBN_237",89
"X.WYPO2012..3","WYPO2012","CDBN_172",92
"X.WYPO2012..4","WYPO2012","CDBN_095",79
"X.WYPO2012..5","WYPO2012","CDBN_064",98
"X.WYPO2012..6","WYPO2012","CDBN_058",90
"X.WYPO2012..7","WYPO2012","CDBN_236",95
"X.WYPO2012..8","WYPO2012","CDBN_217",93
"X.WYPO2012..9","WYPO2012","CDBN_310",102
"X.WYPO2012..10","WYPO2012","CDBN_218",89
"X.WYPO2012..11","WYPO2012","CDBN_167",103
"X.WYPO2012..12","WYPO2012","CDBN_261",88
"X.WYPO2012..13","WYPO2012","CDBN_143",94
"X.COFC2011.","COFC2011","CDBN_243",100
"X.COFC2011..1","COFC2011","CDBN_295",95
"X.COFC2011..2","COFC2011","CDBN_066",95
"X.COFC2011..3","COFC2011","CDBN_171",90
