"","Trait1"
"1",9.63569992873137
"2",9.11895901827101
"3",8.63567882579174
"4",8.76589871861608
"5",10.6491616894332
"6",9.83701257638198
"7",8.64280417368126
"8",10.3823909914989
"9",12.1187637995742
"10",9.0088896198136
"11",8.03349049215461
"12",7.32680472021058
"13",9.50954333219683
"14",7.0756929027703
"15",8.86257850908031
"16",8.91601426492011
"17",8.42270587355398
"18",7.74374335349363
"19",8.60050881107402
"20",7.99807175252698
"21",10.6513550360377
"22",12.6143778317805
"23",7.94005567808748
"24",8.64928143791626
"25",10.0314455974355
"26",9.62587913102876
"27",9.59016827886507
"28",10.0577231492753
"29",9.25200872648023
"30",5.69671563445673
"31",11.8100441369549
"32",8.03557375341293
"33",12.3806338991169
"34",9.27514437170725
"35",4.98175893990094
"36",9.75882549214694
"37",5.87200787309797
"38",8.33448106952971
"39",11.0263080794758
"40",9.51096217282162
"41",10.9834562938067
"42",11.3407077447679
"43",9.8458913041
"44",8.89766631340097
"45",10.5726600522098
"46",9.22706961839474
"47",7.65430024020001
"48",11.5646679683442
"49",8.28128119533812
"50",9.7166709076551
"51",12.0483182042443
"52",7.1087345860789
"53",7.17905126049043
"54",8.32055857434652
"55",8.33724773894559
"56",11.7212980333596
"57",10.804442414525
"58",9.31125459777678
"59",8.55732455702272
"60",7.86988695259884
"61",10.9399002196067
"62",8.63532347424984
"63",11.6672707449971
"64",11.9257216955925
"65",6.12449363720399
"66",9.90793755923194
"67",10.2183647364944
"68",12.2137610894377
"69",10.8238594107425
"70",8.45981036629684
"71",6.41840363168756
"72",10.1706070177069
"73",11.92765293053
"74",9.04627292902198
"75",8.27973304038148
"76",8.17290158342128
"77",9.11866948101704
"78",10.6933301396988
"79",8.06618345781309
"80",10.3975335136079
"81",8.01199937599373
"82",10.9651319330523
"83",9.92866166767495
"84",9.76891570367117
"85",8.49898829711772
"86",9.34231193687861
"87",9.03669227470137
"88",9.21718973621451
"89",10.2640522448308
"90",9.37660700203202
"91",6.89804667276901
"92",7.41991987457802
"93",7.58154330766171
"94",8.39503897595179
"95",6.83978098285289
"96",4.85570558389789
"97",9.28162862317802
"98",7.34524896495962
"99",5.61022122512153
"100",10.0828646533045
"101",6.72740142906129
"102",11.7452606981153
"103",6.04101760581165
"104",9.07045403292127
"105",7.57206351162679
"106",10.2872163255542
"107",11.0300019612929
"108",8.86253115167685
"109",9.64697326828993
"110",9.30800384323211
"111",8.41691399779423
"112",6.75106237444091
"113",6.0277939211957
"114",7.11039210118917
"115",5.90695746091076
"116",9.8329577997785
"117",11.9470255437854
"118",6.29978198160757
"119",9.13995354649315
"120",8.79015340353203
"121",7.2268461625203
"122",8.76656649627251
"123",8.24682252798949
"124",7.21124347074728
"125",10.9448059922622
"126",6.75848913430252
"127",9.67665559158288
"128",10.9734177341553
"129",9.08343286811824
"130",9.24453657303193
"131",10.1137651771496
"132",9.46878825753254
"133",9.67672888178116
"134",7.43748610524553
"135",9.38414674564945
"136",8.46897932099118
"137",7.9247110946538
"138",8.90022353326362
"139",7.37988382965089
"140",8.87812183589743
"141",8.05646934740215
"142",7.83101618049151
"143",6.02810752326467
"144",5.98211657467034
"145",6.10771709332358
"146",6.24870385915544
"147",8.16710762172527
"148",7.81296839119149
"149",6.52714173137545
"150",8.94472405720999
"151",5.86733419659515
"152",5.22102453733141
"153",10.5448073036725
"154",10.1583918560613
"155",5.97375712743236
"156",6.61236523936718
"157",7.45508759203014
"158",8.30373199690067
"159",10.1779898608615
"160",4.3385457953086
"161",9.77023092529503
"162",7.0956577250587
"163",5.11433001083982
"164",6.89091123986141
"165",11.826237242624
"166",3.66212952701562
"167",6.31798094404493
"168",6.36264556511664
"169",8.33098107657488
"170",9.34476036992751
"171",9.2187638392874
"172",6.64191358466156
"173",8.82471556517757
"174",4.62292230637851
"175",6.99373567719232
"176",7.78524704479409
"177",9.58332066608924
"178",5.63148156469434
"179",6.49237823006063
"180",9.47562047143906
"181",8.05992572781484
"182",4.28434352135698
"183",4.15631400527584
"184",9.38214011049527
"185",10.8438146289906
"186",4.7127518868788
"187",10.238551133058
"188",10.146233310195
"189",7.19338509920388
"190",6.42535581609173
"191",5.2869914953466
"192",6.59666162519495
"193",6.38095319831198
"194",8.20398676502059
"195",7.62452410593368
"196",9.0204767407038
"197",6.96898932085672
"198",8.3236537411332
"199",9.20789634479842
"200",8.38112651494551
"201",7.55842710663804
"202",10.5521532683132
"203",9.66579624963112
"204",9.61539283671699
"205",9.18688813944497
"206",9.52070765006353
"207",9.35255730107297
"208",7.42576529379902
"209",7.7163761294066
"210",12.5497234968622
"211",10.8345216531164
"212",8.57844530299763
"213",8.35159833526812
"214",7.28427686446522
"215",9.86340048402379
"216",7.37865304665619
"217",4.98450810129252
"218",6.17454923083765
"219",6.56188164651083
"220",8.51713317251686
"221",8.78553979277276
"222",9.8801994488113
"223",9.97553164406488
"224",9.6821600630536
"225",8.08345662108872
"226",10.3459048254992
"227",5.34778673079228
"228",8.92885203036818
"229",9.69582721378382
"230",8.12805036958944
"231",5.51181536702226
"232",9.33434997067057
"233",10.5156836285817
"234",6.69340778240816
"235",8.41906160813818
"236",7.94618583064971
"237",10.064927647969
"238",9.36674229108548
"239",7.24278703366852
"240",8.8832478527817
"241",10.4874089637724
"242",12.4674651906654
"243",6.84495184369271
"244",10.3253678688996
"245",12.7445494644756
"246",7.85650789975534
"247",10.3523592897847
"248",9.84643749359268
"249",9.76947193993611
"250",11.3338530290114
"251",9.03861103211778
"252",12.6779900592056
"253",8.37624896534306
"254",10.8365823068333
"255",8.08194980985919
"256",7.35805095559392
"257",6.87168818664792
"258",12.4806790948077
"259",9.78731106019241
"260",10.6620062142905
"261",10.0349776986673
"262",8.23845181345958
"263",6.85587285297138
"264",14.2697638687132
"265",8.40968837495603
"266",8.91359435750232
"267",5.60967289245062
"268",12.6136267882317
"269",6.94318912516271
"270",5.63254591247841
"271",5.28126449566348
"272",7.8803646229836
"273",8.93832364760105
"274",7.47727425739974
"275",8.45388469022126
"276",8.40891818402293
"277",7.89357618655101
"278",9.00995839340362
"279",9.95929851187139
"280",5.59004103821244
"281",8.75091543355652
"282",10.1190403971346
"283",7.77851173997606
"284",9.42146972399904
"285",9.0713716154613
"286",6.80877851274821
"287",7.94154656033847
"288",8.46614472583248
"289",7.22904727141981
"290",7.87749205525741
"291",7.3029119944427
"292",6.06767717369495
"293",6.81172824611669
"294",8.27392578611662
"295",8.82288109528616
"296",9.91911476903668
"297",10.2530598684848
"298",6.653724910263
"299",10.1667483081656
"300",6.96277372021653
"301",9.06712340637673
"302",7.2203560110387
"303",8.39673920205433
"304",7.31817653035396
"305",10.6791891498564
"306",9.00263914995069
"307",7.71605608340558
"308",8.58459759238725
"309",9.13384556160488
"310",8.67750316429468
"311",8.88289875131026
"312",9.36876085259717
"313",9.83897201241315
"314",8.69829092296611
"315",7.2308526781379
"316",11.7799806176157
"317",9.06015113539307
"318",7.98825892128987
"319",7.81120461774002
"320",8.8377792238003
"321",7.6591187235032
"322",7.72714251193286
"323",10.4527626633936
"324",12.1163993699067
"325",11.9380112388114
"326",6.24903968613828
"327",10.7456020821556
"328",7.7603662677753
"329",7.29516039127475
"330",8.74705844877358
"331",12.7635466294995
"332",11.5490245611596
"333",10.0934010160215
"334",11.3573018838556
"335",6.15466972301452
"336",7.19400844050238
"337",11.0730919053149
"338",9.52510112155107
"339",7.74047233002623
"340",10.30021417538
"341",8.55890068280592
"342",12.6984792308098
"343",8.20397138254738
"344",11.1784999454546
"345",8.51837347346707
"346",6.68967531917139
"347",8.01520464450752
"348",7.44814689595562
"349",7.39030443419514
"350",7.99072440005325
"351",7.39340986813719
"352",9.30458711333066
"353",6.11449577789454
"354",7.13716372027114
"355",8.1383354353022
"356",5.3445024373204
"357",8.25670764317789
"358",7.82236476296123
"359",5.38660868303817
"360",7.77598734039323
"361",3.09282798086729
"362",7.00867396227416
"363",6.14941785586142
"364",9.62534793708956
"365",10.1579043995065
"366",7.11714605658042
"367",6.60011998557522
"368",9.10506613173792
"369",7.40703032973651
"370",9.04925296758539
"371",7.50187072661843
"372",11.4160006645779
"373",10.699631904211
"374",7.76877752850915
"375",8.82355240159415
"376",9.24415348138804
"377",10.102359201385
"378",9.84607404646448
"379",6.7510564196002
"380",7.51661573797759
"381",4.78651469090815
"382",10.477563210341
"383",7.02256298950808
"384",5.8910478816725
"385",8.68801179808738
"386",8.97325630192382
"387",6.92111157767496
"388",8.350517229017
"389",7.82973494135006
"390",9.19838326025888
"391",8.92339145846775
"392",2.87144843789281
"393",7.26046431960957
"394",6.51390273970152
"395",7.55528107156896
"396",6.26360653296387
"397",9.95077449387636
"398",9.38942852264336
"399",7.00688767682609
"400",6.19920436418317
"401",9.13455081661084
"402",8.02293173737282
"403",7.19077258099008
"404",10.9164912711578
"405",9.61483536420498
"406",8.50528037541531
"407",10.1063596821444
"408",9.42304013331537
"409",10.7559303276014
"410",10.7403219598367
"411",10.5581782168522
"412",10.5881834146444
"413",9.90810166224673
"414",10.432189550636
"415",8.50824096348382
"416",7.04022207122286
"417",8.09803716938063
"418",8.87914497475336
"419",8.11006830035641
"420",7.87736805960307
"421",9.99495168587431
"422",8.43011575986927
"423",9.44811462385511
"424",10.201449118036
"425",5.7481367678441
"426",8.42289238394915
"427",9.33660937622356
"428",6.10770064876342
"429",8.85833687770262
"430",7.35670444921876
"431",7.61769219660201
"432",8.62693191008975
"433",7.48833864559351
"434",6.69407931219804
"435",8.04067321092633
"436",9.24794490675408
"437",8.1159791637227
"438",6.73195436671706
"439",9.62203858632666
"440",9.31314068860891
"441",11.8313876874421
"442",8.38648934931133
"443",12.9038233940181
"444",9.48219939601684
"445",10.0064033170543
"446",9.38585476074833
"447",10.462094197183
"448",10.0078174066092
"449",7.06891411207329
"450",9.85639423640831
"451",7.17520021998503
"452",7.58653611596419
"453",7.70540705321163
"454",8.88547372390393
"455",7.70334708797684
"456",5.34218468482753
"457",6.57316639135116
"458",11.2295870206975
"459",5.15080486003542
"460",7.96664681593653
"461",4.22658338263865
"462",5.96313317852586
"463",10.0194618869315
"464",7.38984481220418
"465",8.91452681123917
"466",10.7699787933055
"467",9.4383490742372
"468",11.3892910301984
"469",12.4514018846127
"470",9.00062808045981
"471",7.20908090399596
"472",8.64605333945343
"473",7.94530769358188
"474",8.39517516758896
"475",6.71316093479866
"476",9.98584079080313
"477",7.69756678008652
"478",7.67860647548795
"479",5.55786112075396
"480",10.7359867577771
"481",10.8970377355358
"482",10.3933610877514
"483",10.7771788280909
"484",12.0145506826045
"485",7.43397441530861
"486",8.75537928543958
"487",8.0240776750035
"488",8.8902265156156
"489",6.49038104534353
"490",7.25544095616479
"491",8.56736472872875
"492",10.4505703766371
"493",7.4255114077416
"494",9.00448610455722
"495",7.31484041679189
"496",10.3253625781235
"497",7.7496139917477
"498",8.87002246532578
"499",8.92471526135701
"500",8.62109811882712
"501",6.53099338019098
"502",7.78784029625702
"503",6.53206404480279
"504",10.0507397720059
"505",9.76791831679159
"506",8.2297826585788
"507",7.18684821826388
"508",7.41742635563047
"509",8.23779427943145
"510",9.06354841390915
"511",6.51882125821199
"512",6.82089275688797
"513",8.39182635007905
"514",10.0899325666852
"515",10.9635528592763
"516",10.7834323800361
"517",7.24921308595394
"518",7.20847083836068
"519",8.97128053296629
"520",6.10903097078091
"521",10.0660024402143
"522",6.48029834881073
"523",7.81636854106178
"524",11.3025477562291
"525",10.5234252739775
"526",6.39490635127399
"527",6.77688569615418
"528",9.8731141410746
"529",7.72569654488027
"530",8.03631999568046
"531",6.83532484293723
"532",6.063243769472
"533",6.76846972506659
"534",10.680165234789
"535",7.15981815001845
"536",6.86508954713275
"537",6.78889918583439
"538",8.40231353415668
"539",8.72186381528529
"540",6.02575791948314
"541",10.4532833305619
"542",7.43136238929608
"543",7.79585526546072
"544",9.19829210274849
"545",8.04944657763734
"546",7.38090098827629
"547",10.0054546170588
"548",5.5807673811258
"549",7.22794497061948
"550",7.86594953946819
"551",6.98754479440173
"552",4.17385269510096
"553",6.32368317934898
"554",8.19950525663388
"555",7.07219938025787
"556",8.9719803011581
"557",8.18275529716412
"558",7.48729670216221
"559",9.42126313324876
"560",6.67216548330931
"561",10.2195916263339
"562",6.79713868115597
"563",7.11560025062565
"564",10.1786890612542
"565",6.17216350969247
"566",8.67975313392056
"567",9.98345947686743
"568",8.69246470604937
"569",4.72257335720185
"570",10.9194002077017
"571",10.4415755179182
"572",7.8215970770244
"573",7.95208053647913
"574",7.84724451815501
"575",9.12716833739874
"576",7.18326692973779
"577",8.20180598391037
"578",8.2361287304751
"579",6.97926302329775
"580",8.74938049396968
"581",7.23199015563049
"582",7.38216461572158
"583",8.20644711803818
"584",10.1574118295495
"585",5.11741565365462
"586",11.0699092335825
"587",7.32024209231351
"588",9.92951879626096
"589",5.37053542691393
"590",5.26233399041157
"591",9.12953933790769
"592",4.36973928716794
"593",8.91913685898993
"594",5.12577429315808
"595",11.8428764157031
"596",13.6320313198463
"597",8.44002895289482
"598",5.01386234731834
"599",8.44706983189321
"600",6.42253263945948
"601",11.8230362735429
"602",6.67227931469252
"603",10.0747667512773
"604",8.24763145481835
"605",4.90651702959211
"606",7.80841748702708
"607",11.656229549761
"608",8.122685546894
"609",7.17844317804712
"610",9.90760730478448
"611",8.48229305716132
"612",8.22693313366113
"613",8.69630928900188
"614",9.88380803186939
"615",5.52605539690787
"616",9.86681578411216
"617",11.9915852453152
"618",6.88414132231971
"619",7.57735898133035
"620",10.8501278203653
"621",9.88280322512735
"622",8.86549912134496
"623",9.89701070844145
"624",5.99263140695577
"625",7.50987123134788
"626",7.83979877597738
"627",8.88245983534717
"628",4.34079491576592
"629",7.29443803648499
"630",7.22380180252746
"631",9.91303722024571
"632",10.8592158243589
"633",7.92477373661869
"634",9.75004431600379
